legacy_entry,status,modern_recipe,reason
"darkstone_cobblestone",MIGRATED,"abyssalcraft:smelting_darkstone_cobblestone",""
"ore_abyssalnite",MIGRATED,"abyssalcraft:smelting_ore_abyssalnite",""
"ore_coralium",MIGRATED,"abyssalcraft:smelting_ore_coralium",""
"darklands_oak_wood",MIGRATED,"abyssalcraft:smelting_darklands_oak_wood",""
"darklands_oak_wood_2",REPLACED,"smelting_darklands_oak_log","legacy second log block is the same modern darklands_oak_log"
"coralium_infused_stone",BLOCKED,"","coralium_infused_stone is not registered"
"pearlescent_coralium_ore",MIGRATED,"abyssalcraft:smelting_pearlescent_coralium_ore",""
"liquified_coralium_ore",MIGRATED,"abyssalcraft:smelting_liquified_coralium_ore",""
"dreaded_abyssalnite_ore",MIGRATED,"abyssalcraft:smelting_dreaded_abyssalnite_ore",""
"coralium_stone",MIGRATED,"abyssalcraft:smelting_coralium_stone",""
"nitre_ore",MIGRATED,"abyssalcraft:smelting_nitre_ore",""
"abyssal_iron_ore",MIGRATED,"abyssalcraft:smelting_abyssal_iron_ore",""
"abyssal_gold_ore",MIGRATED,"abyssalcraft:smelting_abyssal_gold_ore",""
"abyssal_diamond_ore",MIGRATED,"abyssalcraft:smelting_abyssal_diamond_ore",""
"abyssal_nitre_ore",MIGRATED,"abyssalcraft:smelting_abyssal_nitre_ore",""
"ethaxium",MIGRATED,"abyssalcraft:smelting_ethaxium",""
"ethaxium_brick",MIGRATED,"abyssalcraft:smelting_ethaxium_brick",""
"dark_ethaxium_brick",MIGRATED,"abyssalcraft:smelting_dark_ethaxium_brick",""
"darkstone_brick",MIGRATED,"abyssalcraft:smelting_darkstone_brick",""
"abyssal_stone_brick",MIGRATED,"abyssalcraft:smelting_abyssal_stone_brick",""
"dreadstone_brick",MIGRATED,"abyssalcraft:smelting_dreadstone_brick",""
"elysian_stone_brick",MIGRATED,"abyssalcraft:smelting_elysian_stone_brick",""
"coralium_stone_brick",MIGRATED,"abyssalcraft:smelting_coralium_stone_brick",""
"abyssal_sand",MIGRATED,"abyssalcraft:smelting_abyssal_sand",""
"abyssal_cobblestone",MIGRATED,"abyssalcraft:smelting_abyssal_cobblestone",""
"dreadstone_cobblestone",MIGRATED,"abyssalcraft:smelting_dreadstone_cobblestone",""
"elysian_cobblestone",MIGRATED,"abyssalcraft:smelting_elysian_cobblestone",""
"coralium_cobblestone",MIGRATED,"abyssalcraft:smelting_coralium_cobblestone",""
"dreadwood_log",MIGRATED,"abyssalcraft:smelting_dreadwood_log",""
"generic_meat",MIGRATED,"abyssalcraft:smelting_generic_meat",""
"dead_tree_log",MIGRATED,"abyssalcraft:smelting_dead_tree_log",""
"chunk_of_coralium",MIGRATED,"abyssalcraft:smelting_chunk_of_coralium",""
"coin",MIGRATED,"abyssalcraft:smelting_coin",""
"leather_helmet_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"leather_chestplate_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"leather_leggings_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"leather_boots_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"abyssalnite_helmet_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"abyssalnite_chestplate_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"abyssalnite_leggings_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"abyssalnite_boots_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"refined_coralium_helmet_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"refined_coralium_chestplate_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"refined_coralium_leggings_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"refined_coralium_boots_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"dreadium_helmet_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"dreadium_chestplate_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"dreadium_leggings_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"dreadium_boots_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"ethaxium_helmet_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"ethaxium_chestplate_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"ethaxium_leggings_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
"ethaxium_boots_recycling",BLOCKED,"","smelting_recipes requires a cross-loader recipe reload config gate"
